image_id,chart_id,caption_2,score_CLIP_caption_2,rank_CLIP_caption_2,score_CLIP_caption_3,rank_CLIP_caption_3,score_CLIP_caption_4,rank_CLIP_caption_4,score_CLIP-L_caption_2,rank_CLIP-L_caption_2,score_CLIP-L_caption_3,rank_CLIP-L_caption_3,score_CLIP-L_caption_4,rank_CLIP-L_caption_4,score_LongCLIP_caption_2,rank_LongCLIP_caption_2,score_LongCLIP_caption_3,rank_LongCLIP_caption_3,score_LongCLIP_caption_4,rank_LongCLIP_caption_4,tipo_caso,explicacion_breve
img_000,I.1,Mapa de vulnerabilidades del sistema financiero privado de la SBS,0.3394,2,0.3507,3,0.3314,4,0.3977,1,0.4104,1,0.4079,1,0.3669,1,0.3556,1,0.3579,1,acierto,completar manualmente inspeccionando la imagen
img_029,V.3,Depositos del Sistema Financiero,0.3131,3,0.3425,1,0.3159,4,0.2963,1,0.3215,1,0.2855,1,0.2951,1,0.2957,1,0.2768,2,acierto,completar manualmente inspeccionando la imagen
img_024,IV.B.4,RI y cosechas de los creditos empresariales minoristas,0.3112,4,0.3332,3,0.3343,2,0.2786,11,0.3158,4,0.3137,2,0.2497,7,0.2738,8,0.2599,8,error,completar manualmente inspeccionando la imagen
img_035,VI.B.1,Ganancias en Riesgo (GeR) y Valor Patrimonial en Riesgo (VPR) (% del patrimonio efectivo) a. GeR b. VPR,0.4108,1,0.3674,1,0.3463,1,0.3387,1,0.3402,1,0.3096,1,0.203,23,0.234,23,0.1868,33,error,completar manualmente inspeccionando la imagen
img_012,III.B.2,Creditos hipotecarios en el sistema financiero,0.2958,11,0.3239,4,0.2991,11,0.2947,5,0.3363,1,0.2996,7,0.2733,3,0.3109,2,0.2579,8,ambiguo,completar manualmente inspeccionando la imagen
